generated_at_jst,type,title,price,first_100_path,detail_url,issue_number,issue_url,state,comments,money_confirmed_usd
2026-06-11 01:37:41 JST,service,Automation Blueprint,$100,One accepted workflow blueprint reaches $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/automation-blueprint.html,2,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/2,open,0,0
2026-06-11 01:37:41 JST,service,Data Cleanup Sprint,$125,One authorized cleanup sprint clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/data-cleanup-sprint.html,3,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/3,open,0,0
2026-06-11 01:37:41 JST,service,Website Audit Microservice,$150,One accepted public-site audit clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/website-audit-microservice.html,4,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/4,open,0,0
2026-06-11 01:37:41 JST,service,AI Workflow Tracker Sprint,$150,One fixed-price tracker order clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/ai-workflow-tracker-sprint.html,5,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/5,open,0,0
2026-06-11 01:37:41 JST,service,Static Demo Site Customization,$200,One starter site clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/static-demo-site-customization.html,6,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/6,open,0,0
2026-06-11 01:37:41 JST,service,Niche Quote Estimator,$150,One custom estimator clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/niche-quote-estimator.html,7,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/7,open,0,0
2026-06-11 01:37:41 JST,product,Browser Extension Template,$29,Four paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/browser-extension-template.html,8,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/8,open,0,0
2026-06-11 01:37:41 JST,product,Mini Course Workbook,$29,Four paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/mini-course-workbook.html,9,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/9,open,0,0
2026-06-11 01:37:41 JST,product,Synthetic Mock Dataset Pack,$19,Six paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/synthetic-mock-dataset-pack.html,10,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/10,open,0,0
2026-06-11 01:37:41 JST,product,CSV CLI Toolkit,$19,Six paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/csv-cli-toolkit.html,11,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/11,open,0,0
2026-06-11 02:36:42 JST,product,Invoice and Expense Tracker Template,$19,Six paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/invoice-and-expense-tracker-template.html,12,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/12,open,0,0
2026-06-11 02:50:26 JST,product,Prompt Workflow Pack,$19 product / $100 setup,"Six paid product transfers clears $100 gross, or one paid custom setup reaches $100.",https://jaxassistant55.github.io/jax-micro-offer-studio/prompt-workflow-pack.html,13,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/13,open,0,0
2026-06-11 02:59:57 JST,service,Resale Listing and Price Research Pack,$100,One paid resale listing pack reaches $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/resale-listing-and-price-research-pack.html,14,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/14,open,0,0
2026-06-11 03:17:18 JST,product,Sales Enablement Kit,$29 product / $100 setup,"Four paid kit transfers clears $100 gross, or one paid custom setup reaches $100.",https://jaxassistant55.github.io/jax-micro-offer-studio/sales-enablement-kit.html,15,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/15,open,0,0
2026-06-11 03:26:18 JST,service,Translation and Localization Draft Pack,$100,One paid localization draft pack reaches $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/translation-and-localization-draft-pack.html,16,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/16,open,0,0
