checked_at_jst,kind,issue_number,title,price,first_100_path,issue_url,state,comments,labels,proof_status,money_confirmed_usd,money_count_rule
2026-06-11 01:39:36 JST,main_board,1,Available now: first paid $100+ micro-offer request,various,One accepted $100+ service or enough paid product transfers,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/1,open,0,paid-inquiry|needs-scope,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,2,Automation Blueprint,$100,One accepted workflow blueprint reaches $100.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/2,open,0,paid-inquiry|needs-scope|order-board|service-order,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,3,Data Cleanup Sprint,$125,One authorized cleanup sprint clears $100.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/3,open,0,paid-inquiry|needs-scope|order-board|service-order,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,4,Website Audit Microservice,$150,One accepted public-site audit clears $100.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/4,open,0,paid-inquiry|needs-scope|order-board|service-order,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,5,AI Workflow Tracker Sprint,$150,One fixed-price tracker order clears $100.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/5,open,0,paid-inquiry|needs-scope|order-board|service-order,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,6,Static Demo Site Customization,$200,One starter site clears $100.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/6,open,0,paid-inquiry|needs-scope|order-board|service-order,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,7,Niche Quote Estimator,$150,One custom estimator clears $100.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/7,open,0,paid-inquiry|needs-scope|order-board|service-order,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,8,Browser Extension Template,$29,Four paid transfers clears $100 gross.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/8,open,0,paid-inquiry|needs-scope|order-board|product-transfer,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,9,Mini Course Workbook,$29,Four paid transfers clears $100 gross.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/9,open,0,paid-inquiry|needs-scope|order-board|product-transfer,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,10,Synthetic Mock Dataset Pack,$19,Six paid transfers clears $100 gross.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/10,open,0,paid-inquiry|needs-scope|order-board|product-transfer,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 01:39:36 JST,focused_order_board,11,CSV CLI Toolkit,$19,Six paid transfers clears $100 gross.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/11,open,0,paid-inquiry|needs-scope|order-board|product-transfer,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 02:36:42 JST,focused_order_board,12,Invoice and Expense Tracker Template,$19,Six paid transfers clears $100 gross.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/12,open,0,paid-inquiry|needs-scope|order-board|product-transfer,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 02:50:26 JST,focused_order_board,13,Prompt Workflow Pack,$19 product / $100 setup,"Six paid product transfers clears $100 gross, or one paid custom setup reaches $100.",https://github.com/jaxassistant55/jax-micro-offer-studio/issues/13,open,0,paid-inquiry|needs-scope|order-board|product-transfer,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
2026-06-11 02:59:57 JST,focused_order_board,14,Resale Listing and Price Research Pack,$100,One paid resale listing pack reaches $100.,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/14,open,0,paid-inquiry|needs-scope|order-board|service-order,no_buyer_comments_no_payment_proof,0,"Count $0 unless external paid order, cleared invoice, funded milestone, payable balance, posted refund/credit, or equivalent proof exists."
